index,last index,commit hash,parent hash,extract type,commit text,new class,new class path,origin class,origin class path,split number,data path,url,project path,full path
11,311,d24a2d5ac1c64b8ace1f408b863d1c2e3a6bddb7,7ac6b3e8d37c109873f63545b52d63c9e394b298,extractClass,Bug 58897 - Improve JUnit Test code STEP 5 patch by B. Wiart #resolve #104 Bugzilla Id: 58897  git-svn-id: https://svn.apache.org/repos/asf/jmeter/trunk@1728418 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: 1ac5e02fc0d34920a3b24b3422bc0317a7696bf4,org.apache.jmeter.functions.EvalFunctionTest org.apache.jmeter.functions.StringFromFileFunctionTest org.apache.jmeter.functions.SumFunctionTest ,org/apache/jmeter/functions/EvalFunctionTest.java org/apache/jmeter/functions/StringFromFileFunctionTest.java org/apache/jmeter/functions/SumFunctionTest.java ,org.apache.jmeter.functions.PackageTest,org/apache/jmeter/functions/PackageTest.java,3,god_class_refactor_examples/311+apache_jmeter+d24a2+PackageTest+SumFunctionTest.csv,https://github.com/apache/jmeter/commit/d24a2d5ac1c64b8ace1f408b863d1c2e3a6bddb7,D:\Top1kProjects\apache_jmeter,test/src/org/apache/jmeter/functions/PackageTest.java
12,316,963d77a091e19cf407d310b5568c2d0676bb7d68,5264749a48e7b56f39a4794dd42d0c66a65e2498,extractSuperclass,BSFTestElement and JSR223TestElement should use shared super-class for common fields Bugzilla Id: 54110   git-svn-id: https://svn.apache.org/repos/asf/jmeter/trunk@1406876 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: 30080897423645a46722edfc7015c75ade73a781,org.apache.jmeter.util.ScriptingTestElement ,org/apache/jmeter/util/ScriptingTestElement.java ,org.apache.jmeter.util.JSR223TestElement,org/apache/jmeter/util/JSR223TestElement.java,1,god_class_refactor_examples/316+apache_jmeter+963d7+JSR223TestElement+ScriptingTestElement.csv,https://github.com/apache/jmeter/commit/963d77a091e19cf407d310b5568c2d0676bb7d68,D:\Top1kProjects\apache_jmeter,src/core/org/apache/jmeter/util/JSR223TestElement.java
13,327,f1843c0eb141b35eedb703e0fcbb77a517e2e904,00f9746be9b7431dbb8cf6b6a9685a3cc230377f,extractClass,Bug 49603 - Allow accepting expired certificates on Mail Reader Sampler  git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@986140 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: 91e79e3ed139326e461b345d214be9a1c167b575,org.apache.jmeter.protocol.smtp.sampler.gui.SecuritySettingsPanel ,org/apache/jmeter/protocol/smtp/sampler/gui/SecuritySettingsPanel.java ,org.apache.jmeter.protocol.smtp.sampler.gui.SmtpPanel,org/apache/jmeter/protocol/smtp/sampler/gui/SmtpPanel.java,1,god_class_refactor_examples/327+apache_jmeter+f1843+SmtpPanel+SecuritySettingsPanel.csv,https://github.com/apache/jmeter/commit/f1843c0eb141b35eedb703e0fcbb77a517e2e904,D:\Top1kProjects\apache_jmeter,src/protocol/mail/org/apache/jmeter/protocol/smtp/sampler/gui/SmtpPanel.java
14,328,ea4d602982e7a52f71311154c708af0fafa04f62,0fccc1ca0b70c1e442e7609938580ee1f679cd91,extractSuperclass,Bug 48749 - Allowing custom Thread Groups  git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@915587 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: ca8e0c22b7d13afb33632094d528c921b919d8c6,org.apache.jmeter.threads.AbstractThreadGroup ,org/apache/jmeter/threads/AbstractThreadGroup.java ,org.apache.jmeter.threads.ThreadGroup,org/apache/jmeter/threads/ThreadGroup.java,1,god_class_refactor_examples/328+apache_jmeter+ea4d6+ThreadGroup+AbstractThreadGroup.csv,https://github.com/apache/jmeter/commit/ea4d602982e7a52f71311154c708af0fafa04f62,D:\Top1kProjects\apache_jmeter,src/core/org/apache/jmeter/threads/ThreadGroup.java
15,329,ea4d602982e7a52f71311154c708af0fafa04f62,0fccc1ca0b70c1e442e7609938580ee1f679cd91,extractSuperclass,Bug 48749 - Allowing custom Thread Groups  git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@915587 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: ca8e0c22b7d13afb33632094d528c921b919d8c6,org.apache.jmeter.threads.gui.AbstractThreadGroupGui ,org/apache/jmeter/threads/gui/AbstractThreadGroupGui.java ,org.apache.jmeter.threads.gui.ThreadGroupGui,org/apache/jmeter/threads/gui/ThreadGroupGui.java,1,god_class_refactor_examples/329+apache_jmeter+ea4d6+ThreadGroupGui+AbstractThreadGroupGui.csv,https://github.com/apache/jmeter/commit/ea4d602982e7a52f71311154c708af0fafa04f62,D:\Top1kProjects\apache_jmeter,src/core/org/apache/jmeter/threads/gui/ThreadGroupGui.java
16,333,09760a2dfe53c9fd7d6619a0fa0733e18f9075d5,bc85e80ec58ad68f4a12c395d33473e313e45edf,extractClass,Bug 47474 - View Results Tree support for plugin renderers  git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@885648 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: e5c108478fb426affaf0b807df2e3d7fd1e236f2,org.apache.jmeter.visualizers.RenderAsHTML org.apache.jmeter.visualizers.RenderAsJSON org.apache.jmeter.visualizers.RenderAsXML org.apache.jmeter.visualizers.SamplerResultTab ,org/apache/jmeter/visualizers/RenderAsHTML.java org/apache/jmeter/visualizers/RenderAsJSON.java org/apache/jmeter/visualizers/RenderAsXML.java org/apache/jmeter/visualizers/SamplerResultTab.java ,org.apache.jmeter.visualizers.ViewResultsFullVisualizer,org/apache/jmeter/visualizers/ViewResultsFullVisualizer.java,4,god_class_refactor_examples/333+apache_jmeter+09760+ViewResultsFullVisualizer+SamplerResultTab.csv,https://github.com/apache/jmeter/commit/09760a2dfe53c9fd7d6619a0fa0733e18f9075d5,D:\Top1kProjects\apache_jmeter,src/components/org/apache/jmeter/visualizers/ViewResultsFullVisualizer.java
17,336,654515298778fad8126dcbf6993187fad473d122,eb484ffc965993228b78aaa00dc971e056aad1e0,extractClass,Split off CSV into separate class  git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@593962 13f79535-47bb-0310-9956-ffa450edef68  Former-commit-id: f246b924f75e37114abb9ea8c3de585aaefdfeda,org.apache.jmeter.save.CSVSaveService ,org/apache/jmeter/save/CSVSaveService.java ,org.apache.jmeter.save.OldSaveService,org/apache/jmeter/save/OldSaveService.java,1,god_class_refactor_examples/336+apache_jmeter+65451+OldSaveService+CSVSaveService.csv,https://github.com/apache/jmeter/commit/654515298778fad8126dcbf6993187fad473d122,D:\Top1kProjects\apache_jmeter,src/core/org/apache/jmeter/save/OldSaveService.java
18,363,d193137585f4f8cf653bb5cf678a494bab087784,2724578ab41cb9e8098975bddbde7df2085b1c61,extractSuperclass,NUTCH-2596 Upgrade from org.mortbay.jetty to org.eclipse.jetty - remove Jetty (serving JSP pages) for HTTP protocol plugin tests - replace JSP pages by header/content strings hold in unit test classes ,org.apache.nutch.protocol.AbstractHttpProtocolPluginTest ,org/apache/nutch/protocol/AbstractHttpProtocolPluginTest.java ,org.apache.nutch.protocol.okhttp.TestBadServerResponses,org/apache/nutch/protocol/okhttp/TestBadServerResponses.java,1,god_class_refactor_examples/363+apache_nutch+d1931+TestBadServerResponses+AbstractHttpProtocolPluginTest.csv,https://github.com/apache/nutch/commit/d193137585f4f8cf653bb5cf678a494bab087784,D:\Top1kProjects\apache_nutch,src/plugin/protocol-okhttp/src/test/org/apache/nutch/protocol/okhttp/TestBadServerResponses.java
19,448,b744595561ed46e1411da666fdd71144d7f76665,79f4ca54d0680f5da9b7adedf73d9a27b20c5b2a,extractClass,For #223. ,com.dangdang.ddframe.job.cloud.executor.TaskExecutorThreadTest ,com/dangdang/ddframe/job/cloud/executor/TaskExecutorThreadTest.java ,com.dangdang.ddframe.job.cloud.executor.TaskExecutorTest,com/dangdang/ddframe/job/cloud/executor/TaskExecutorTest.java,1,god_class_refactor_examples/448+apache_shardingsphere-elasticjob+b7445+TaskExecutorTest+TaskExecutorThreadTest.csv,https://github.com/apache/shardingsphere-elasticjob/commit/b744595561ed46e1411da666fdd71144d7f76665,D:\Top1kProjects\apache_shardingsphere-elasticjob,elastic-job-cloud/elastic-job-cloud-executor/src/test/java/com/dangdang/ddframe/job/cloud/executor/TaskExecutorTest.java
20,488,84131d896fd55af07b4c989ac9653e90f59abe5d,a040ff0d4e0ef116104b821948be97b1e8f0d147,extractClass,refactor ,com.dangdang.ddframe.job.internal.schedule.JobFacade ,com/dangdang/ddframe/job/internal/schedule/JobFacade.java ,com.dangdang.ddframe.job.internal.schedule.SchedulerFacade,com/dangdang/ddframe/job/internal/schedule/SchedulerFacade.java,1,god_class_refactor_examples/488+apache_shardingsphere-elasticjob+84131+SchedulerFacade+JobFacade.csv,https://github.com/apache/shardingsphere-elasticjob/commit/84131d896fd55af07b4c989ac9653e90f59abe5d,D:\Top1kProjects\apache_shardingsphere-elasticjob,elastic-job-core/src/main/java/com/dangdang/ddframe/job/internal/schedule/SchedulerFacade.java
21,489,84131d896fd55af07b4c989ac9653e90f59abe5d,a040ff0d4e0ef116104b821948be97b1e8f0d147,extractClass,refactor ,com.dangdang.ddframe.job.internal.schedule.JobFacadeTest ,com/dangdang/ddframe/job/internal/schedule/JobFacadeTest.java ,com.dangdang.ddframe.job.internal.schedule.SchedulerFacadeTest,com/dangdang/ddframe/job/internal/schedule/SchedulerFacadeTest.java,1,god_class_refactor_examples/489+apache_shardingsphere-elasticjob+84131+SchedulerFacadeTest+JobFacadeTest.csv,https://github.com/apache/shardingsphere-elasticjob/commit/84131d896fd55af07b4c989ac9653e90f59abe5d,D:\Top1kProjects\apache_shardingsphere-elasticjob,elastic-job-core/src/test/java/com/dangdang/ddframe/job/internal/schedule/SchedulerFacadeTest.java
22,510,6ca26f9414ad768cf277d4edbd3e0ff4c33e26fd,a194a7bce87e6f670d236b2d1f22e6e4e623870a,extractSuperclass,create base thumbnail class ,com.beardedhen.androidbootstrap.BootstrapBaseThumbnail ,com/beardedhen/androidbootstrap/BootstrapBaseThumbnail.java ,com.beardedhen.androidbootstrap.BootstrapCircleThumbnail,com/beardedhen/androidbootstrap/BootstrapCircleThumbnail.java,1,god_class_refactor_examples/510+Bearded-Hen_Android-Bootstrap+6ca26+BootstrapCircleThumbnail+BootstrapBaseThumbnail.csv,https://github.com/Bearded-Hen/Android-Bootstrap/commit/6ca26f9414ad768cf277d4edbd3e0ff4c33e26fd,D:\Top1kProjects\Bearded-Hen_Android-Bootstrap,AndroidBootstrap/src/main/java/com/beardedhen/androidbootstrap/BootstrapCircleThumbnail.java
23,521,ed20643fb94d4e17f4cdb3699a6d83621408dd34,092e0624054db5cf00b32dea2da459df90f13b11,extractSuperclass,Directly include RequestOptions in ReqestBuilder using CRGP  https://www.artima.com/weblogs/viewpost.jsp?thread=133275  This means that you can write:  Glide.with(context)   .load(url)   .placeholder(R.drawable.placeholder)   .into(imageView);  Instead of:  Glide.with(contex)   .apply(placeholderOf(R.drawable.placeholder)   .into(imageView);  Without using the generated API.  ------------- Created by MOE: https://github.com/google/moe MOE_MIGRATED_REVID=211640993 ,com.bumptech.glide.request.BaseRequestOptions ,com/bumptech/glide/request/BaseRequestOptions.java ,com.bumptech.glide.request.RequestOptions,com/bumptech/glide/request/RequestOptions.java,1,god_class_refactor_examples/521+bumptech_glide+ed206+RequestOptions+BaseRequestOptions.csv,https://github.com/bumptech/glide/commit/ed20643fb94d4e17f4cdb3699a6d83621408dd34,D:\Top1kProjects\bumptech_glide,library/src/main/java/com/bumptech/glide/request/RequestOptions.java
24,579,4f96c1a82e7d2db4863ac63dd00a261e9f0746b1,be9ba784e13d6f8bf390ec0f11fc2600a38b0548,extractClass,Make gif resources safe for multiple consumers.,com.bumptech.glide.load.resource.gif.decoder.GifHeader com.bumptech.glide.load.resource.gif.decoder.GifHeaderParser ,com/bumptech/glide/load/resource/gif/decoder/GifHeader.java com/bumptech/glide/load/resource/gif/decoder/GifHeaderParser.java ,com.bumptech.glide.load.resource.gif.GifDecoder,com/bumptech/glide/load/resource/gif/GifDecoder.java,2,god_class_refactor_examples/579+bumptech_glide+4f96c+GifDecoder+GifHeaderParser.csv,https://github.com/bumptech/glide/commit/4f96c1a82e7d2db4863ac63dd00a261e9f0746b1,D:\Top1kProjects\bumptech_glide,library/src/main/java/com/bumptech/glide/load/resource/gif/GifDecoder.java
25,586,8c7ae0d1551752a2ff6260dd807580a90020451e,896af010afa2c88aa6b63fc80c1a412357caed97,extractClass,Revamp Glide interface to be more flexible.  Conflicts:  library/src/com/bumptech/glide/presenter/target/ImageViewTarget.java ,com.bumptech.glide.Glide.ModelRequest ,com/bumptech/glide/Glide/ModelRequest.java ,com.bumptech.glide.Glide,com/bumptech/glide/Glide.java,1,god_class_refactor_examples/586+bumptech_glide+8c7ae+Glide+ModelRequest.csv,https://github.com/bumptech/glide/commit/8c7ae0d1551752a2ff6260dd807580a90020451e,D:\Top1kProjects\bumptech_glide,library/src/com/bumptech/glide/Glide.java
26,646,a791d09a6747ca4923352405b20c229eafad5866,504e41a1c749ebbf3b63b6ab58533c8219cb6df1,extractClass,Get Implementation in AsyncCache that takes in a callback function (#344)  Co-authored-by: Scott Phillips <sphil@google.com>,com.android.volley.toolbox.DiskBasedCacheUtility ,com/android/volley/toolbox/DiskBasedCacheUtility.java ,com.android.volley.toolbox.DiskBasedCache,com/android/volley/toolbox/DiskBasedCache.java,1,god_class_refactor_examples/646+google_volley+a791d+DiskBasedCache+DiskBasedCacheUtility.csv,https://github.com/google/volley/commit/a791d09a6747ca4923352405b20c229eafad5866,D:\Top1kProjects\google_volley,src/main/java/com/android/volley/toolbox/DiskBasedCache.java
27,662,c4773fd9aa6969c1a6014370e9e3151135f3b044,3c1a4efd525d317f45e13d935ebd2a5e02bcf499,extractClass,Configuration representation should not include factory methods. ,org.jivesoftware.openfire.spi.EncryptionArtifactFactory ,org/jivesoftware/openfire/spi/EncryptionArtifactFactory.java ,org.jivesoftware.openfire.spi.ConnectionConfiguration,org/jivesoftware/openfire/spi/ConnectionConfiguration.java,1,god_class_refactor_examples/662+igniterealtime_Openfire+c4773+ConnectionConfiguration+EncryptionArtifactFactory.csv,https://github.com/igniterealtime/Openfire/commit/c4773fd9aa6969c1a6014370e9e3151135f3b044,D:\Top1kProjects\igniterealtime_Openfire,src/java/org/jivesoftware/openfire/spi/ConnectionConfiguration.java
28,671,6e5db35615c01ce5df568676a3b8485236bc507e,ec7e0ff96241ccf1aa1158158cf2bc8639e12746,extractSuperclass,OF-278: Avoid loading all shared groups into memory/cache when possible. NOTE: This is a partial refactor of the Openfire groups component. Additional review and testing is requested. Please update the corresponding JIRA ticket with comments or concerns.  git-svn-id: http://svn.igniterealtime.org/svn/repos/openfire/trunk@13380 b35dd754-fafc-0310-a699-88a17e54d16e ,org.jivesoftware.openfire.group.AbstractReadOnlyGroupProvider ,org/jivesoftware/openfire/group/AbstractReadOnlyGroupProvider.java ,org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider,org/jivesoftware/openfire/clearspace/ClearspaceGroupProvider.java,1,god_class_refactor_examples/671+igniterealtime_Openfire+6e5db+ClearspaceGroupProvider+AbstractReadOnlyGroupProvider.csv,https://github.com/igniterealtime/Openfire/commit/6e5db35615c01ce5df568676a3b8485236bc507e,D:\Top1kProjects\igniterealtime_Openfire,src/java/org/jivesoftware/openfire/clearspace/ClearspaceGroupProvider.java
29,673,6e5db35615c01ce5df568676a3b8485236bc507e,ec7e0ff96241ccf1aa1158158cf2bc8639e12746,extractSuperclass,OF-278: Avoid loading all shared groups into memory/cache when possible. NOTE: This is a partial refactor of the Openfire groups component. Additional review and testing is requested. Please update the corresponding JIRA ticket with comments or concerns.  git-svn-id: http://svn.igniterealtime.org/svn/repos/openfire/trunk@13380 b35dd754-fafc-0310-a699-88a17e54d16e ,org.jivesoftware.openfire.group.AbstractReadOnlyGroupProvider ,org/jivesoftware/openfire/group/AbstractReadOnlyGroupProvider.java ,org.jivesoftware.openfire.group.JDBCGroupProvider,org/jivesoftware/openfire/group/JDBCGroupProvider.java,1,god_class_refactor_examples/673+igniterealtime_Openfire+6e5db+JDBCGroupProvider+AbstractReadOnlyGroupProvider.csv,https://github.com/igniterealtime/Openfire/commit/6e5db35615c01ce5df568676a3b8485236bc507e,D:\Top1kProjects\igniterealtime_Openfire,src/java/org/jivesoftware/openfire/group/JDBCGroupProvider.java
30,698,898b00f20c5e3e566267324d3a51a950f64a25bd,0e8da89780513a5dcb84b4f50e109c1777f5286a,extractSubclass,Start moving toward proxying to native action bar.  The 4.0+ implementation is currently empty.  Start unit tests with testing the activity name parsing from the manifest. Closes #205 and #201. ,com.actionbarsherlock.internal.ActionBarSherlockCompat ,com/actionbarsherlock/internal/ActionBarSherlockCompat.java ,com.actionbarsherlock.ActionBarSherlock,com/actionbarsherlock/ActionBarSherlock.java,1,god_class_refactor_examples/698+JakeWharton_ActionBarSherlock+898b0+ActionBarSherlock+ActionBarSherlockCompat.csv,https://github.com/JakeWharton/ActionBarSherlock/commit/898b00f20c5e3e566267324d3a51a950f64a25bd,D:\Top1kProjects\JakeWharton_ActionBarSherlock,library/src/com/actionbarsherlock/ActionBarSherlock.java
